"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"64",2015-01-30,"research","Rocha","Milvago chimango","Animalia","Chordata","Aves","Falconiformes","Falconidae","Milvago","Milvago chimango",c(819378.607373241, 6227360.40939257)
"65",2015-01-28,"research","Cerro Largo","Aramus guarauna","Animalia","Chordata","Aves","Gruiformes","Aramidae","Aramus","Aramus guarauna",c(765031.221921555, 6415431.36536795)
"66",2015-01-30,"research","Rocha","Ciconia maguari","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia maguari",c(819378.607373241, 6227360.40939257)
"67",2015-01-30,"research","Rocha","Progne tapera","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne tapera",c(819378.607373241, 6227360.40939257)
"68",2015-02-01,"research","Rocha","Charadrius semipalmatus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius semipalmatus",c(759627.777791888, 6160267.80924861)
"69",2015-02-01,"research","Rocha","Charadrius semipalmatus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius semipalmatus",c(759627.777791888, 6160267.80924861)
"70",2015-02-01,"research","Rocha","Chroicocephalus maculipennis","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus maculipennis",c(759627.777791888, 6160267.80924861)
"71",2015-02-01,"research","Rocha","Chroicocephalus maculipennis","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus maculipennis",c(759627.777791888, 6160267.80924861)
"72",2015-02-01,"research","Rocha","Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus palliatus",c(759627.777791888, 6160267.80924861)
"73",2015-02-01,"research","Rocha","Tringa flavipes","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa flavipes",c(759627.777791888, 6160267.80924861)
"74",2015-02-01,"research","Rocha","Tringa flavipes","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa flavipes",c(759627.777791888, 6160267.80924861)
"75",2015-02-01,"research","Rocha","Pluvialis dominica","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis dominica",c(759627.777791888, 6160267.80924861)
"76",2015-02-01,"research","Rocha","Tringa flavipes","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa flavipes",c(759627.777791888, 6160267.80924861)
"77",2015-01-29,"research","Cerro Largo","Colaptes melanochloros","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes melanochloros",c(765031.221921555, 6415431.36536795)
"78",2015-01-30,"research","Rocha","Colaptes campestris","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes campestris",c(819378.607373241, 6227360.40939257)
"79",2015-01-30,"research","Rocha","Guira guira","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Guira","Guira guira",c(819378.607373241, 6227360.40939257)
"80",2015-02-01,"research","Rocha","Calidris fuscicollis","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris fuscicollis",c(759627.777791888, 6160267.80924861)
"81",2015-01-25,"research","Paysandú","Syrigma sibilatrix","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Syrigma","Syrigma sibilatrix",c(416518.047997643, 6464765.85299266)
"82",2015-01-30,"research","Rocha","Progne chalybea","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne chalybea",c(819241.323753306, 6232042.68652667)
