"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"110","analaura18","2020-08-06 15:05:43 UTC","2020-08-06 15:16:45 UTC",3,1.00766203703704,2.97718867014312,"principiante"
"111","analia13","2021-12-04 19:08:29 UTC","2022-01-29 22:07:37 UTC",7,57.1243981481481,0.122539584256905,"principiante"
"112","analia27","2022-09-11 13:21:55 UTC","2022-09-11 13:21:55 UTC",1,1,1,"principiante"
"113","analiavergara","2020-03-27 20:43:10 UTC","2020-04-26 16:18:09 UTC",4,30.8159606481481,0.129802865653658,"principiante"
"114","analucasrosso","2020-02-12 20:41:35 UTC","2020-02-12 20:41:35 UTC",1,1,1,"principiante"
"115","anamartnezgoicoechea","2021-10-19 03:29:23 UTC","2022-05-19 15:55:04 UTC",126,213.517835648148,0.590114636641563,"intermedio"
"116","anaolcese","2021-09-27 13:22:29 UTC","2022-10-07 21:15:24 UTC",33,376.328414351852,0.0876893658344553,"principiante"
"117","anarl","2020-09-10 19:55:58 UTC","2020-11-01 17:56:39 UTC",5,52.9171412037037,0.0944873416489485,"principiante"
"118","anavero","2020-11-04 15:11:26 UTC","2022-10-26 16:24:09 UTC",94,722.050497685185,0.13018480051098,"principiante"
"119","andre188","2021-02-05 17:46:00 UTC","2021-02-05 17:46:00 UTC",1,1,1,"principiante"
"120","andrea1357","2020-02-04 00:52:37 UTC","2021-02-12 17:17:42 UTC",2,375.684085648148,0.00532362183122424,"principiante"
"121","andrea2463","2022-01-08 21:24:51 UTC","2022-01-08 21:24:51 UTC",1,1,1,"principiante"
"122","andrea2478","2021-11-03 17:05:14 UTC","2021-11-03 17:05:14 UTC",1,1,1,"principiante"
"123","andreameynet","2021-09-30 15:52:23 UTC","2022-10-20 12:21:22 UTC",47,385.853460648148,0.121807900649771,"principiante"
"124","andreasomma","2020-03-01 20:26:35 UTC","2021-12-28 15:48:33 UTC",34,667.806921296296,0.0509129194618136,"principiante"
"125","andreina_emilia","2022-10-09 01:30:36 UTC","2022-10-09 01:30:36 UTC",1,1,1,"principiante"
"126","andres557","2021-09-30 19:53:56 UTC","2022-04-08 02:11:24 UTC",3,190.26212962963,0.0157677200704097,"principiante"
"127","andres562","2021-10-17 14:49:14 UTC","2022-06-05 13:57:27 UTC",5,231.964039351852,0.0215550652332615,"principiante"
"128","andresferz","2022-01-07 00:05:10 UTC","2022-11-11 14:52:01 UTC",196,309.615868055556,0.633042489814608,"intermedio"
"129","andrestl","2020-12-28 23:24:28 UTC","2021-01-12 11:18:46 UTC",4,15.4960416666667,0.258130436536212,"principiante"
