"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"48",2014-09-01,"research","Salto","Vachellia caven","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia caven",c(418653.28174327, 6545279.56702971)
"49",2012-11-20,"research","Colonia","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(422336.36083402, 6187068.28976036)
"50",2015-02-10,"research","Rocha","Pluchea sagittalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pluchea","Pluchea sagittalis",c(726234.58141091, 6152548.20481232)
"51",2018-11-18,"research","Canelones","Hypochaeris radicata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata",c(591942.632287806, 6143137.04511117)
"52",2018-11-19,"research","Rocha","Senecio brasiliensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio brasiliensis",c(743841.791266294, 6178558.46206258)
"53",2018-11-18,"research","Treinta y Tres","Mimosa bifurca","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa bifurca",c(737793.256327966, 6327340.05383525)
"54",2018-11-19,"research","Tacuarembó","Centrosema virginianum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Centrosema","Centrosema virginianum",c(597631.220137376, 6492922.18954349)
"55",2018-11-17,"research","Treinta y Tres","Trifolium polymorphum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium polymorphum",c(737793.256327966, 6327340.05383525)
"56",2018-11-24,"research","Salto","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(413195.132731098, 6520297.45303682)
"57",2018-11-24,"research","Tacuarembó","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(642688.972268792, 6467947.88527524)
