"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"69","benediktschnitzer","2022-01-29 17:54:02 UTC","2022-01-29 17:54:02 UTC",1,1,1,"principiante"
"70","bewambay","2017-07-24 15:52:38 UTC","2017-07-24 15:52:38 UTC",2,1,2,"principiante"
"71","bianca_darski","2020-09-14 02:46:48 UTC","2020-09-14 03:24:23 UTC",3,1.02609953703704,2.92369296711973,"principiante"
"72","bigoti","2020-06-04 22:20:38 UTC","2020-08-01 14:13:45 UTC",4,58.6618865740741,0.068187374010706,"principiante"
"73","bionautauru","2020-02-19 02:01:03 UTC","2020-02-19 02:01:15 UTC",4,1.00013888888889,3.99944452159422,"principiante"
"74","birdplant","2022-06-15 14:18:16 UTC","2022-06-15 14:18:16 UTC",1,1,1,"principiante"
"75","birdspaz","2022-10-28 19:40:24 UTC","2022-10-28 19:40:24 UTC",1,1,1,"principiante"
"76","blair_cowie","2022-01-16 17:37:28 UTC","2022-01-16 17:42:55 UTC",2,1.00378472222222,1.99245909578332,"principiante"
"77","bob_mckelvey","2022-05-04 04:48:29 UTC","2022-05-04 04:48:29 UTC",1,1,1,"principiante"
"78","bob15noble","2019-02-24 14:57:50 UTC","2019-03-20 15:28:34 UTC",31,25.0213425925926,1.23894231036097,"principiante"
"79","bolivershagnastic","2022-03-17 17:12:33 UTC","2022-03-17 17:55:36 UTC",4,1.02989583333333,3.88388793365025,"principiante"
"80","bombin","2019-04-12 10:48:36 UTC","2022-08-12 19:47:35 UTC",28,1219.37429398148,0.022962596585971,"principiante"
"81","boogan_boy","2021-11-11 22:17:28 UTC","2022-04-01 16:25:35 UTC",10,141.755636574074,0.0705439320910144,"principiante"
"82","bradmoon","2018-12-14 04:30:28 UTC","2018-12-14 05:44:49 UTC",17,1.05163194444444,16.1653514709281,"principiante"
"83","brendakend","2020-06-26 06:43:12 UTC","2020-06-26 06:43:12 UTC",1,1,1,"principiante"
"84","brunacizmic","2020-04-12 15:14:00 UTC","2020-04-12 15:14:00 UTC",1,1,1,"principiante"
"85","bubbalow","2019-03-07 21:08:36 UTC","2019-03-07 21:08:36 UTC",1,1,1,"principiante"
"86","bubblegumteary","2022-07-12 23:58:47 UTC","2022-08-13 12:42:25 UTC",4,32.5303009259259,0.122962280893384,"principiante"
"87","buddyfede","2019-12-13 22:23:01 UTC","2021-03-07 19:08:25 UTC",6,450.864861111111,0.0133077569744815,"principiante"
"88","bwessling","2019-04-01 05:49:02 UTC","2019-04-01 05:49:02 UTC",1,1,1,"principiante"
"89","calidrisesperanza","2021-03-20 22:09:17 UTC","2021-03-20 22:09:19 UTC",6,1.00002314814815,5.99986111432606,"principiante"
"90","call_me_ishmael","2019-07-29 22:55:04 UTC","2019-07-29 22:55:04 UTC",1,1,1,"principiante"
"91","camilagarciap","2022-02-07 00:48:38 UTC","2022-08-05 21:12:43 UTC",14,180.85005787037,0.0774121953006778,"principiante"
"92","capacoscar","2020-05-31 05:38:10 UTC","2020-05-31 05:38:11 UTC",2,1.00001157407407,1.99997685211977,"principiante"
"93","carancho","2017-04-04 05:23:55 UTC","2018-08-13 04:37:07 UTC",123,496.9675,0.247501094135934,"intermedio"
"94","carlos-nat","2018-07-09 13:51:37 UTC","2018-07-09 13:55:16 UTC",2,1.00253472222222,1.99494337270114,"principiante"
"95","carlos_miranda","2019-05-13 15:00:54 UTC","2019-05-13 15:00:54 UTC",1,1,1,"principiante"
"96","carlos1041","2020-03-28 01:59:20 UTC","2020-03-28 01:59:20 UTC",1,1,1,"principiante"
"97","carlos2194","2022-05-10 19:02:33 UTC","2022-05-10 19:02:33 UTC",1,1,1,"principiante"
"98","carloseisele","2020-03-28 21:41:30 UTC","2020-03-28 21:41:30 UTC",1,1,1,"principiante"
"99","carmen556","2022-01-06 11:19:25 UTC","2022-01-09 21:02:18 UTC",3,4.40478009259259,0.681078268820962,"principiante"
"100","carmentavares","2021-08-21 22:53:05 UTC","2021-08-21 23:28:06 UTC",5,1.02431712962963,4.88130077626241,"principiante"
"101","casolari","2018-08-04 16:29:06 UTC","2018-12-30 16:27:42 UTC",2,148.999027777778,0.0134229063761602,"principiante"
"102","cat_the_scholar","2022-04-10 22:19:01 UTC","2022-04-10 22:19:01 UTC",1,1,1,"principiante"
"103","catap","2021-05-02 15:22:20 UTC","2022-03-26 16:30:02 UTC",3,329.047013888889,0.00911723818594818,"principiante"
"104","ccanet","2018-12-02 01:04:50 UTC","2018-12-02 03:19:38 UTC",13,1.09361111111111,11.8872237744475,"principiante"
"105","ccfisher","2021-01-10 16:17:02 UTC","2021-01-10 16:17:02 UTC",1,1,1,"principiante"
"106","cdiaz_m","2020-05-17 23:29:04 UTC","2020-05-17 23:31:07 UTC",21,1.00142361111111,20.9701466662044,"principiante"
"107","ceronfabio","2018-02-25 23:55:50 UTC","2018-02-25 23:55:50 UTC",1,1,1,"principiante"
"108","charlie_myles","2022-02-10 23:26:42 UTC","2022-02-10 23:33:17 UTC",2,1.00457175925926,1.99089809320813,"principiante"
"109","chartuso","2020-02-01 02:13:42 UTC","2020-02-01 02:13:42 UTC",2,1,2,"principiante"
"110","chebizarro","2020-01-22 18:22:11 UTC","2020-01-22 18:22:11 UTC",1,1,1,"principiante"
"111","choriplanti","2020-03-29 13:32:59 UTC","2020-03-29 13:32:59 UTC",1,1,1,"principiante"
"112","christiangilli","2020-03-01 17:10:03 UTC","2021-02-21 12:53:23 UTC",4,357.821759259259,0.0111787500242594,"principiante"
"113","chuck47","2019-04-17 14:57:57 UTC","2019-04-17 15:47:39 UTC",25,1.03451388888889,24.1659394508962,"principiante"
"114","chumbo1","2021-04-16 15:11:30 UTC","2022-09-03 23:38:06 UTC",14,506.351805555556,0.0276487608938998,"principiante"
"115","cidawerneck","2019-10-18 22:19:57 UTC","2022-10-05 02:15:43 UTC",22,1083.16372685185,0.020310872174368,"principiante"
"116","claitonlenz","2021-01-08 14:32:49 UTC","2021-01-09 16:07:58 UTC",4,2.06607638888889,1.93603683847873,"principiante"
"117","clara_florencia","2020-03-16 22:06:02 UTC","2020-03-16 22:06:10 UTC",2,1.00009259259259,1.99981483196,"principiante"
"118","claradd","2020-11-20 17:27:49 UTC","2020-11-20 17:27:49 UTC",1,1,1,"principiante"
"119","claradlc","2020-12-12 14:37:52 UTC","2020-12-12 14:37:52 UTC",1,1,1,"principiante"
"120","claudia_ma","2022-09-17 16:18:49 UTC","2022-09-17 16:18:49 UTC",1,1,1,"principiante"
"121","claudianicolow","2020-12-20 22:46:50 UTC","2021-12-02 00:29:56 UTC",14,347.071597222222,0.0403374984068089,"principiante"
"122","cmhf","2018-08-13 14:08:35 UTC","2018-08-13 14:08:35 UTC",1,1,1,"principiante"
"123","connie163","2020-01-19 17:16:33 UTC","2020-01-19 17:16:33 UTC",1,1,1,"principiante"
"124","connrcrane","2020-05-01 19:05:37 UTC","2020-05-01 19:05:37 UTC",1,1,1,"principiante"
"125","corygiacobbe","2020-07-23 21:02:46 UTC","2020-08-04 08:31:50 UTC",52,12.4785185185185,4.16716134393921,"principiante"
"126","craftybirder","2017-05-20 20:16:19 UTC","2017-05-21 02:42:56 UTC",13,1.2684837962963,10.2484557059044,"principiante"
"127","cris131","2020-12-25 15:20:30 UTC","2020-12-25 15:20:30 UTC",1,1,1,"principiante"
"128","cristiandibattista","2019-02-07 18:57:53 UTC","2019-02-07 18:57:53 UTC",1,1,1,"principiante"
"129","damiii","2022-10-15 18:33:11 UTC","2022-10-15 18:33:11 UTC",1,1,1,"principiante"
"130","danialdias","2020-09-24 16:02:00 UTC","2022-07-06 16:40:33 UTC",90,651.026770833333,0.13824316300357,"principiante"
"131","daniel4172","2019-02-11 23:56:27 UTC","2019-02-11 23:56:27 UTC",1,1,1,"principiante"
"132","danielaleiva","2020-08-06 18:35:02 UTC","2020-08-06 18:35:02 UTC",1,1,1,"principiante"
"133","danielgonzalez2","2019-10-08 12:13:22 UTC","2019-10-10 17:17:30 UTC",3,3.2112037037037,0.934229116807474,"principiante"
"134","daniellemurcia","2017-07-23 13:47:14 UTC","2017-07-23 13:47:14 UTC",1,1,1,"principiante"
"135","danielt","2017-12-12 19:09:03 UTC","2017-12-17 22:34:48 UTC",60,6.14288194444444,9.76740242489331,"principiante"
"136","danilo45","2020-03-09 19:13:53 UTC","2022-04-17 04:05:10 UTC",23,769.368946759259,0.0298946300040842,"principiante"
"137","danimeneses","2020-12-10 13:50:00 UTC","2021-01-06 14:46:03 UTC",4,28.0389236111111,0.142658828686808,"principiante"
"138","david0478","2019-11-03 15:08:25 UTC","2019-11-03 15:08:25 UTC",1,1,1,"principiante"
"139","david3366","2020-08-02 17:34:33 UTC","2020-09-26 21:50:10 UTC",2,56.1775115740741,0.0356014345235434,"principiante"
"140","davidacunhamorales","2020-03-09 02:08:37 UTC","2020-03-09 02:08:37 UTC",1,1,1,"principiante"
