"","id","observado","user_id","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","usuario","nivel","ranking"
"14593",127443277,"2022-07-20",5266364,-32.3661519544,-54.1885828972,"Cerro Largo","Aramides ypecaha","Aves","Rallidae",19,45,"LC","LC","luisvescia","intermedio",3
"14594",127443445,"2022-07-22",5266364,-32.2364436867,-54.1219297441,"Cerro Largo","Cairina moschata","Aves","Anatidae",10,73,"LC","EN","luisvescia","intermedio",3
"14595",127446586,"2022-07-21",1439323,-33.612916,-54.332393,"Lavalleja","Scinax granulatus","Amphibia","Hylidae",19,4,"LC","LC","gmmv80","experimentado",10
"14596",127447505,"2022-07-22",1439323,-33.222332,-53.788217,"Rocha","Stephanophorus diadematus","Aves","Thraupidae",19,18,"LC","LC","gmmv80","experimentado",10
"14597",127448012,"2022-07-22",1439323,-33.4710345038,-53.8694934681,"Rocha","Circus buffoni","Aves","Accipitridae",19,52,"LC","LC","gmmv80","experimentado",10
"14598",127590312,"2022-07-23",4413147,-31.3486932715,-55.0189938024,"Rivera","Poospiza nigrorufa","Aves","Thraupidae",19,13,"LC","LC","adriana_machado","intermedio",39
"14599",127590876,"2022-07-23",4413147,-31.3486477448,-55.0191322714,"Rivera","Chrysomus ruficapillus","Aves","Icteridae",19,17,"LC","LC","adriana_machado","intermedio",39
"14600",127592276,"2022-07-23",4413147,-31.3487877609,-55.019216761,"Rivera","Cranioleuca pyrrhophia","Aves","Furnariidae",19,14,"LC","LC","adriana_machado","intermedio",39
"14601",127592700,"2022-07-23",4413147,-31.3484750867,-55.0187976658,"Rivera","Spatula versicolor","Aves","Anatidae",19,37,"LC","LC","adriana_machado","intermedio",39
"14602",127593153,"2022-07-23",4413147,-31.3486002137,-55.0191443413,"Rivera","Gallinago paraguaiae","Aves","Scolopacidae",19,25,"LC","LC","adriana_machado","intermedio",39
"14603",127593477,"2022-07-15",4413147,-31.3484599111,-55.0191057846,"Rivera","Patagioenas maculosa","Aves","Columbidae",19,33,"LC","LC","adriana_machado","intermedio",39
"14604",127593782,"2022-07-15",4413147,-31.3487176097,-55.0193042681,"Rivera","Leptotila verreauxi","Aves","Columbidae",19,26,"LC","LC","adriana_machado","intermedio",39
"14605",127593954,"2022-07-10",4413147,-31.3486944169,-55.0191939622,"Rivera","Paroaria coronata","Aves","Thraupidae",19,17,"LC","LC","adriana_machado","intermedio",39
"14606",127594701,"2022-07-23",4413147,-31.2807281264,-55.0594600586,"Rivera","Lontra longicaudis","Mammalia","Mustelidae",19,114,"NT","NT","adriana_machado","intermedio",39
"14607",127595001,"2022-07-23",4413147,-31.3486932715,-55.0191859156,"Rivera","Hydrochoerus hydrochaeris","Mammalia","Caviidae",19,115,"LC","NT","adriana_machado","intermedio",39
"14608",127595690,"2022-07-21",4413147,-31.3486952758,-55.0191795453,"Rivera","Didelphis albiventris","Mammalia","Didelphidae",19,90,"LC","LC","adriana_machado","intermedio",39
"14609",127660605,"2022-06-11",5746452,-34.4835018889,-56.8659478426,"San José","Thamnophilus caerulescens","Aves","Thamnophilidae",19,13,"LC","LC",NA,NA,NA
"14610",127684258,"2022-07-24",5857368,-34.0404257223,-53.5817943801,"Rocha","Piaya cayana","Aves","Cuculidae",19,44,"LC","LC",NA,NA,NA
"14611",127729917,"2022-07-24",5284022,-30.2609293,-57.5929166,"Artigas","Caracara plancus","Aves","Falconidae",19,55,"LC","LC",NA,NA,NA
"14612",127729918,"2022-07-24",5284022,-30.2249394672,-57.5848934936,"Artigas","Coryphistera alaudina","Aves","Furnariidae",6,15,"LC","NT",NA,NA,NA
"14613",127761619,"2022-07-24",5284022,-30.260884116,-57.6025759801,"Artigas","Rhinella diptycha","Amphibia","Bufonidae",4,25,"LC","LC",NA,NA,NA
"14614",127794085,"2022-07-25",5111039,-34.2889009809,-54.269547848,"Rocha","Boana pulchella","Amphibia","Hylidae",19,5,"LC","LC","mirgom","intermedio",92
"14615",127839658,"2022-07-25",3438688,-32.4120359054,-58.0075677484,"Paysandú","Bothrops alternatus","Reptilia","Viperidae",19,150,"NE","LC","cruzravenheart","intermedio",56
"14616",127898213,"2022-05-09",5262894,-34.4640207,-54.1600601,"Rocha","Leucochloris albicollis","Aves","Trochilidae",19,8,"LC","LC","pequirippa","intermedio",41
"14617",127914912,"2022-07-25",3438688,-32.411481135,-58.0075861886,"Paysandú","Elachistocleis bicolor","Amphibia","Microhylidae",19,4.3,"LC","LC","cruzravenheart","intermedio",56
"14618",127915997,"2022-07-24",5262894,-34.4640207,-54.1600601,"Rocha","Tachycineta leucorrhoa","Aves","Hirundinidae",19,13,"LC","LC","pequirippa","intermedio",41
"14619",128013386,"2022-07-26",5434555,-34.8486151331,-55.1198183745,"Maldonado","Leucochloris albicollis","Aves","Trochilidae",19,8,"LC","LC","elena_26","intermedio",16
"14620",128236897,"2022-07-27",565949,-34.3445472476,-56.7118059844,"San José","Passer domesticus","Aves","Passeridae",19,13,"LC","NE","karinaviera","intermedio",76
"14621",128243866,"2022-07-26",5266364,-32.1287547276,-53.8270683121,"Cerro Largo","Colaptes campestris","Aves","Picidae",19,27,"LC","LC","luisvescia","intermedio",3
"14622",128243991,"2022-07-26",5266364,-32.1283353616,-53.8268513885,"Cerro Largo","Mimus saturninus","Aves","Mimidae",19,25,"LC","LC","luisvescia","intermedio",3
"14623",128244322,"2022-07-26",5266364,-32.1273009929,-53.8270683121,"Cerro Largo","Heliobletus contaminatus","Aves","Furnariidae",1,12,"LC","NE","luisvescia","intermedio",3
"14624",128244526,"2022-07-26",5266364,-32.1269012117,-53.8279695343,"Cerro Largo","Trogon surrucura","Aves","Trogonidae",2,24,"LC","NE","luisvescia","intermedio",3
"14625",128245592,"2022-07-27",5266364,-32.1944952387,-53.833377203,"Cerro Largo","Tachycineta leucorrhoa","Aves","Hirundinidae",19,13,"LC","LC","luisvescia","intermedio",3
"14626",128245696,"2022-07-27",5266364,-32.1944952387,-53.833377203,"Cerro Largo","Nengetus cinereus","Aves","Tyrannidae",19,20,"LC","LC","luisvescia","intermedio",3
"14627",128300728,"2022-07-24",1439323,-31.359644,-55.984637,"Tacuarembó","Leucochloris albicollis","Aves","Trochilidae",19,8,"LC","LC","gmmv80","experimentado",10
"14628",128313442,"2022-07-28",3322591,-33.0656661,-54.1559402,"Treinta y Tres","Tamandua tetradactyla","Mammalia","Myrmecophagidae",5,112,"LC","EN","ornitoloca","intermedio",14
"14629",128331033,"2022-07-23",2439287,-34.7645962197,-54.5482372107,"Rocha","Caracara plancus","Aves","Falconidae",19,55,"LC","LC","lagunagarzon","intermedio",30
"14630",128331035,"2022-07-17",2439287,-34.77197929,-54.5471214131,"Rocha","Pseudoleistes virescens","Aves","Icteridae",19,21,"LC","LC","lagunagarzon","intermedio",30
"14631",128331036,"2022-07-17",2439287,-34.9317861474,-54.4401680553,"Maldonado","Larus atlanticus","Aves","Laridae",6,48,"NT","EN","lagunagarzon","intermedio",30
"14632",128332567,"2022-07-27",2439287,-34.7778087103,-54.5431117153,"Rocha","Axis axis","Mammalia","Cervidae",13,140,"LC","LC","lagunagarzon","intermedio",30
"14633",128370101,"2020-07-30",2513727,-33.258155,-55.1031014,"Treinta y Tres","Knipolegus lophotes","Aves","Tyrannidae",13,19,"LC","LC","diego_caballero","experimentado",7
"14634",128391726,"2022-07-26",5266364,-32.124518673,-53.8321749028,"Cerro Largo","Lepus europaeus","Mammalia","Leporidae",19,65,"LC","LC","luisvescia","intermedio",3
"14635",128524052,"2022-07-29",2502876,-34.7927761222,-54.5497051254,"Rocha","Xolmis irupero","Aves","Tyrannidae",19,17,"LC","LC",NA,NA,NA
"14636",128525481,"2022-07-29",2502876,-34.7981679722,-54.563651,"Rocha","Megaceryle torquata","Aves","Alcedinidae",19,36,"LC","LC",NA,NA,NA
"14637",128526465,"2022-07-29",2502876,-34.797946,-54.5629509722,"Rocha","Ardea alba","Aves","Ardeidae",19,65,"LC","LC",NA,NA,NA
"14638",128527661,"2022-07-29",2502876,-34.785671,-54.5468979722,"Rocha","Falco sparverius","Aves","Falconidae",19,26,"LC","LC",NA,NA,NA
"14639",128528011,"2022-07-27",2502876,-34.857201,-55.0426229722,"Maldonado","Aramides ypecaha","Aves","Rallidae",19,45,"LC","LC",NA,NA,NA
"14640",128529129,"2021-09-15",5970559,-34.7295898948,-55.2615989372,"Maldonado","Furnarius rufus","Aves","Furnariidae",19,18,"LC","LC",NA,NA,NA
"14641",128608075,"2022-07-30",1467469,-32.5278033333,-58.0284361667,"Río Negro","Rupornis magnirostris","Aves","Accipitridae",19,38,"LC","LC","santiagomailhos","experimentado",1
"14642",128709084,"2022-07-30",1892681,-34.9130723,-56.1705722,"Montevideo","Aramides cajaneus","Aves","Rallidae",19,36,"LC","LC",NA,NA,NA
"14643",128709855,"2022-07-29",1353517,-34.8868308158,-56.0851423815,"Montevideo","Amphisbaena darwinii","Reptilia","Amphisbaenidae",13,28,"NE","LC","smantaras","principiante",61
"14644",128723723,"2017-04-05",5863999,-34.9363205,-54.9377826,"Maldonado","Myiopsitta monachus","Aves","Psittacidae",19,27,"LC","LC",NA,NA,NA
"14645",128827000,"2022-07-31",5261756,-34.7892795581,-55.5372012779,"Canelones","Rauenia bonariensis","Aves","Thraupidae",19,17,"LC","LC","maria2622","principiante",137
"14646",128833722,"2022-07-27",2467035,-34.8793392436,-54.8148084388,"Maldonado","Xenodon dorbignyi","Reptilia","Colubridae",19,70,"NE","LC","franli","intermedio",21
"14647",128863338,"2022-07-31",5284022,-30.2573698282,-57.6040853092,"Artigas","Phytotoma rutila","Aves","Cotingidae",16,17,"LC","LC",NA,NA,NA
"14648",128884492,"2022-07-31",1467469,-32.5241672003,-58.0416294538,"Río Negro","Rupornis magnirostris","Aves","Accipitridae",19,38,"LC","LC","santiagomailhos","experimentado",1
