"","id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","frequencia","distribucion","distribucion_2","Habito1","Hab1_freq","Habito2","Hab2_freq","status_global"
"89",21631954,"2018-03-29","santiagomailhos","experimentado",1,-32.5190366667,-58.0544361667,"Río Negro","Magnoliopsida","Asteraceae","Pterocaulon polystachyum",14,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
"90",21632151,"2018-03-13","santiagomailhos","experimentado",1,-32.523455,-58.0375945,"Río Negro","Magnoliopsida","Asteraceae","Chromolaena hirsuta",52,12,"Media","Subarbusto",509,"Perenne",3810,"NE"
"91",21640061,"2019-03-26","santiagomailhos","experimentado",1,-32.52372,-58.0615528333,"Río Negro","Magnoliopsida","Asteraceae","Bidens subalternans",4,0,"NE","Hierba",2782,"Anual",766,"NE"
"92",21647307,"2019-02-28","joaco5","intermedio",26,-34.790766146,-56.3304635882,"Montevideo","Magnoliopsida","Asteraceae","Arctium minus",9,4,"Baja","Hierba",2782,"Bianual",14,"NE"
"93",21650715,"2019-03-26","santiagomailhos","experimentado",1,-32.5267216667,-58.0530695,"Río Negro","Magnoliopsida","Solanaceae","Jaborosa runcinata",21,4,"Baja","Hierba",2782,"Perenne",3810,"NE"
"94",21682643,"2018-02-09","santiagomailhos","experimentado",1,-32.5281033333,-58.0361445,"Río Negro","Magnoliopsida","Fabaceae","Prosopis affinis",4,0,"NE","NE",53,"NE",56,"DD"
"95",21699741,"2019-03-28","thegamer1000","principiante",1395,-34.4502559,-57.8449302,"Colonia","Magnoliopsida","Fabaceae","Trifolium pratense",15,2,"Baja","Hierba",2782,"Perenne",3810,"LC"
"96",21719300,"2019-03-28","santiagomailhos","experimentado",1,-32.5289333333,-58.0377166667,"Río Negro","Magnoliopsida","Asteraceae","Austroeupatorium inulifolium",25,14,"Media","Arbusto",912,"Perenne",3810,"NE"
"97",21740145,"2019-03-29","santiagomailhos","experimentado",1,-32.5291133333,-58.0386916667,"Río Negro","Magnoliopsida","Fabaceae","Camptosema rubicundum",21,16,"Media","Liana",29,"Perenne",3810,"NE"
"98",21752323,"2018-02-07","santiagomailhos","experimentado",1,-32.52988,-58.0559833333,"Río Negro","Magnoliopsida","Solanaceae","Solanum sisymbriifolium",79,2,"Baja","Hierba",2782,"Perenne",3810,"NE"
"99",21752368,"2018-01-28","santiagomailhos","experimentado",1,-32.5292283333,-58.0373695,"Río Negro","Magnoliopsida","Solanaceae","Cestrum parqui",16,2,"Baja","Arbusto",912,"Perenne",3810,"LC"
"100",21757694,"2018-01-01","santiagomailhos","experimentado",1,-32.5131866667,-58.0424916667,"Río Negro","Magnoliopsida","Asteraceae","Holocheilus hieracioides",3,12,"Media","Hierba",2782,"Perenne",3810,"NE"
"101",21772216,"2017-12-28","santiagomailhos","experimentado",1,-32.5333283333,-58.0416195,"Río Negro","Magnoliopsida","Asteraceae","Arctium minus",9,4,"Baja","Hierba",2782,"Bianual",14,"NE"
"102",21802687,"2019-03-30","santiagomailhos","experimentado",1,-32.52887,-58.0284278333,"Río Negro","Magnoliopsida","Fabaceae","Senna corymbosa",33,19,"Alta","Arbusto",912,"Perenne",3810,"LC"
"103",21803529,"2019-03-30","santiagomailhos","experimentado",1,-33.13285,-57.16495,"Soriano","Magnoliopsida","Asteraceae","Chrysolaena flexuosa",40,13,"Media","Hierba",2782,"Perenne",3810,"NE"
"104",21804628,"2019-03-25","santiagomailhos","experimentado",1,-33.1329583333,-57.1650195,"Soriano","Magnoliopsida","Asteraceae","Lessingianthus plantaginodes",18,1,"Baja","Subarbusto",509,"Perenne",3810,"NE"
"105",21812070,"2017-10-25","santiagomailhos","experimentado",1,-32.52608,-58.054775,"Río Negro","Magnoliopsida","Asteraceae","Senecio bonariensis",22,8,"Media","Hierba",2782,"Perenne",3810,"NE"
"106",21812321,"2017-10-16","santiagomailhos","experimentado",1,-32.5156116667,-58.0407778333,"Río Negro","Magnoliopsida","Asteraceae","Senecio pterophorus",7,4,"Baja","Hierba",2782,"Perenne",3810,"NE"
"107",21812414,"2017-10-05","santiagomailhos","experimentado",1,-32.5248,-58.0335805,"Río Negro","Magnoliopsida","Solanaceae","Solanum laxum",31,10,"Media","Hierba",2782,"Perenne",3810,"NE"
