"","id","observado","usuario","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","nivel","ranking"
"1",25394,"2010-05-14","iris",-34.8836111,-56.1819444,"Montevideo","Paroaria coronata","Aves","Thraupidae",19,17,"LC","LC","visitante",104
"2",29269,"2010-05-13","iris",-34.8432699046,-56.1886241301,"Montevideo","Larus atlanticus","Aves","Laridae",6,48,"NT","EN","visitante",104
"3",29270,"2011-05-16","iris",-34.9321044628,-56.1622810364,"Montevideo","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC","visitante",104
"4",29274,"2010-05-14","iris",-34.913525558,-56.1667442322,"Montevideo","Aramides cajaneus","Aves","Rallidae",19,36,"LC","LC","visitante",104
"5",87220,"2011-01-06","guille",-34.0379800402,-53.5438978672,"Rocha","Rhinella dorbignyi","Amphibia","Bufonidae",10,7,"LC","LC","visitante",42
"6",87221,"2011-01-06","guille",-34.0379800402,-53.5438978672,"Rocha","Scinax granulatus","Amphibia","Hylidae",19,4,"LC","LC","visitante",42
"7",87222,"2011-01-08","guille",-34.1866718618,-53.7563180923,"Rocha","Procyon cancrivorus","Mammalia","Procyonidae",19,107,"LC","LC","visitante",42
"8",87225,"2011-01-10","guille",-34.4061860207,-53.7776952982,"Rocha","Otaria byronia","Mammalia","Otariidae",5,210,"LC","LC","visitante",42
"9",87228,"2011-01-12","guille",-34.2420492886,-53.881727457,"Rocha","Myiopsitta monachus","Aves","Psittacidae",19,27,"LC","LC","visitante",42
"10",87229,"2011-01-12","guille",-34.2594865145,-53.8831248879,"Rocha","Colaptes campestris","Aves","Picidae",19,27,"LC","LC","visitante",42
"11",87232,"2011-01-12","guille",-34.2828642395,-53.9022195339,"Rocha","Sicalis flaveola","Aves","Thraupidae",19,12,"LC","LC","visitante",42
"12",87233,"2011-01-12","guille",-34.2132594318,-53.8846805692,"Rocha","Amazonetta brasiliensis","Aves","Anatidae",19,36,"LC","LC","visitante",42
"13",87234,"2011-01-12","guille",-34.2132128526,-53.8846886158,"Rocha","Porphyriops melanops","Aves","Rallidae",19,20,"LC","LC","visitante",42
"14",87235,"2011-01-12","guille",-34.2396878353,-53.8822317123,"Rocha","Milvago chimango","Aves","Falconidae",19,37,"LC","LC","visitante",42
"15",87236,"2011-01-12","guille",-34.2400514813,-53.882060051,"Rocha","Colaptes campestris","Aves","Picidae",19,27,"LC","LC","visitante",42
"16",87238,"2011-01-13","guille",-33.9016017535,-53.5102200508,"Rocha","Nannopterum brasilianum","Aves","Phalacrocoracidae",19,63,"LC","LC","visitante",42
"17",87239,"2011-01-13","guille",-33.9016017535,-53.5102200508,"Rocha","Larus dominicanus","Aves","Laridae",16,55,"LC","LC","visitante",42
"18",87240,"2011-01-13","guille",-33.900993992,-53.5116711259,"Rocha","Mimus saturninus","Aves","Mimidae",19,25,"LC","LC","visitante",42
"19",87241,"2011-01-13","guille",-33.9017642678,-53.5102334619,"Rocha","Egretta thula","Aves","Ardeidae",19,39,"LC","LC","visitante",42
"20",121716,"2010-05-17","iris",-34.5168752562,-53.6440393386,"Rocha","Spheniscus magellanicus","Aves","Spheniscidae",6,47,"NT","NT","visitante",104
"21",121995,"2010-05-14","iris",-34.9157777705,-56.1720657349,"Montevideo","Egretta thula","Aves","Ardeidae",19,39,"LC","LC","visitante",104
"23",411870,"2013-09-13","jonathan",-34.913675,-56.17664,"Montevideo","Vanellus chilensis","Aves","Charadriidae",19,32,"LC","LC","visitante",130
"24",413458,"2013-09-13","jonathan",-34.924194,-56.150624,"Montevideo","Fulica armillata","Aves","Rallidae",19,35,"LC","LC","visitante",130
"25",414272,"2013-09-13","jonathan",-34.924218,-56.150898,"Montevideo","Rollandia rolland","Aves","Podicipedidae",19,25,"LC","LC","visitante",130
"26",435389,"2013-09-13","jonathan",-34.924556,-56.151807,"Montevideo","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC","visitante",130
