"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"61","research","Paysandú","Cyanocorax chrysops","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocorax"
"62","research","Paysandú","Zenaida auriculata","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida"
"63","research","Montevideo","Furnarius rufus","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Furnarius"
"64","research","Salto","Ardea cocoi","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea"
"65","research","Cerro Largo","Icterus pyrrhopterus","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus"
"66","research","Tacuarembó","Eptesicus diminutus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus"
"67","research","Colonia","Tigrisoma lineatum","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Tigrisoma"
"68","research","Colonia","Charadrius collaris","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius"
"69","research","Río Negro","Rupornis magnirostris","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Rupornis"
"70","research","Paysandú","Chauna torquata","Animalia","Chordata","Aves","Anseriformes","Anhimidae","Chauna"
"71","research","Paysandú","Leistes superciliaris","Animalia","Chordata","Aves","Passeriformes","Icteridae","Leistes"
"72","research","Paysandú","Dendrocygna viduata","Animalia","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna"
"73","research","Paysandú","Plegadis chihi","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis"
"74","research","Paysandú","Jacana jacana","Animalia","Chordata","Aves","Charadriiformes","Jacanidae","Jacana"
"75","research","Paysandú","Himantopus mexicanus","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus"
"76","research","Paysandú","Platalea ajaja","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea"
"77","research","Río Negro","Chlorostilbon lucidus","Animalia","Chordata","Aves","Caprimulgiformes","Trochilidae","Chlorostilbon"
"78","research","Paysandú","Chloroceryle amazona","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Chloroceryle"
"79","research","Maldonado","Turdus rufiventris","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus"
"80","research","Paysandú","Ammodramus humeralis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Ammodramus"
"81","research","Paysandú","Nengetus cinereus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Nengetus"
"82","research","Paysandú","Ardea alba","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea"
"83","research","Maldonado","Phimosus infuscatus","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Phimosus"
"84","research","Maldonado","Chelonia mydas","Animalia","Chordata","Reptilia","Testudines","Cheloniidae","Chelonia"
"85","research","Maldonado","Rynchops niger","Animalia","Chordata","Aves","Charadriiformes","Laridae","Rynchops"
"86","research","Montevideo","Patagioenas picazuro","Animalia","Chordata","Aves","Columbiformes","Columbidae","Patagioenas"
"87","research","Montevideo","Sterna trudeaui","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna"
"88","research","Canelones","Geranoaetus albicaudatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Geranoaetus"
"89","research","Paysandú","Chloroceryle americana","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Chloroceryle"
"90","research","Paysandú","Pitangus sulphuratus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Pitangus"
"91","research","Paysandú","Pseudoleistes virescens","Animalia","Chordata","Aves","Passeriformes","Icteridae","Pseudoleistes"
"92","research","Cerro Largo","Didelphis albiventris","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis"
"93","research","Cerro Largo","Lycalopex gymnocercus","Animalia","Chordata","Mammalia","Carnivora","Canidae","Lycalopex"
"94","research","Cerro Largo","Conepatus chinga","Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Conepatus"
"95","research","Cerro Largo","Nothura maculosa","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothura"
"96","research","Cerro Largo","Erythrolamprus poecilogyrus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Erythrolamprus"
"97","research","Montevideo","Amphisbaena munoai","Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena"
"98","research","Montevideo","Tringa melanoleuca","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa"
"99","research","Cerro Largo","Patagioenas maculosa","Animalia","Chordata","Aves","Columbiformes","Columbidae","Patagioenas"
"100","research","Montevideo","Passer domesticus","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer"
