"","id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","Habito1","Habito2","status_global"
"1077",54105642,"2018-11-27","corygiacobbe","visitante",27,-34.423184506,-55.3503293574,"Lavalleja","Magnoliopsida","Asteraceae","Baccharis aliena",12,"Media","Arbusto","Perenne","NE"
"1082",54444963,"2017-10-29","corygiacobbe","visitante",27,-34.5330205347,-56.5748168237,"San José","Magnoliopsida","Fabaceae","Vachellia caven",14,"Media","Arbusto","Perenne","LC"
"1084",54626589,"2017-11-11","corygiacobbe","visitante",27,-32.6074230268,-53.7287526833,"Cerro Largo","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"1085",54626884,"2017-11-11","corygiacobbe","visitante",27,-32.6063228853,-53.729468585,"Cerro Largo","Magnoliopsida","Asteraceae","Acmella bellidioides",2,"Baja","Hierba","Perenne","NE"
"1160",59500162,"2003-12-05","seigmond","visitante",504,-34.868327,-56.168975,"Montevideo","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"1171",59912573,"2011-10-21","prokhozhyj","visitante",136,-34.8887066243,-56.2593897859,"Montevideo","Magnoliopsida","Fabaceae","Vachellia caven",14,"Media","Arbusto","Perenne","LC"
"1203",61101615,"2020-09-28","silvia235","visitante",506,-33.9706579578,-57.9935917631,"Colonia","Magnoliopsida","Fabaceae","Vachellia caven",14,"Media","Arbusto","Perenne","LC"
"2245",91188601,"2012-02-01","cidawerneck","visitante",47,-34.0423394,-53.5473322,"Rocha","Magnoliopsida","Fabaceae","Trifolium pratense",2,"Baja","Hierba","Perenne","LC"
"3021",100802714,"2015-11-28","cidawerneck","visitante",47,-34.4733627145,-57.8506785985,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"3032",100893179,"2021-11-11","astridnautas","visitante",1,-34.2655159722,-57.370497,"Colonia","Magnoliopsida","Asteraceae","Baccharis punctulata",12,"Media","Arbusto","Perenne","LC"
"3061",101291357,"2021-11-15","astridnautas","visitante",1,-34.265388,-57.3718289722,"Colonia","Magnoliopsida","Asteraceae","Aspilia montevidensis",12,"Media","Hierba ","Perenne","NE"
"3344",103243804,"2021-12-17","weba69","visitante",6,-34.7580533333,-55.7195666667,"Canelones","Magnoliopsida","Fabaceae","Sesbania punicea",12,"Media","Arbol","Perenne","LC"
"3454",104136927,"2022-01-01","weba69","visitante",6,-34.7620166667,-55.7270866667,"Canelones","Magnoliopsida","Fabaceae","Acacia dealbata",4,"Baja","Arbol","Perenne","LC"
"3509",104451142,"2019-12-25","natalieraeber","visitante",10,-31.2511960945,-55.852497018,"Rivera","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"3907",106519241,"2018-03-02","charlie_myles","visitante",238,-34.460648132,-57.8323005729,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"4285",108516209,"2022-03-12","diego_v","visitante",30,-34.473148,-57.847989,"Colonia","Magnoliopsida","Fabaceae","Vachellia caven",14,"Media","Arbusto","Perenne","LC"
"4286",108516223,"2022-03-12","diego_v","visitante",30,-34.472745,-57.850383,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"4287",108516224,"2022-03-12","diego_v","visitante",30,-34.473148,-57.847989,"Colonia","Magnoliopsida","Fabaceae","Acacia dealbata",4,"Baja","Arbol","Perenne","LC"
"4532",110028857,"2022-03-30","viole2309","visitante",90,-33.219447,-58.1225519722,"Río Negro","Magnoliopsida","Fabaceae","Senna corymbosa",19,"Alta","Arbusto","Perenne","LC"
"5002",116369184,"2022-04-24","astridnautas","visitante",1,-34.2685024596,-57.3742267862,"Colonia","Magnoliopsida","Asteraceae","Aspilia montevidensis",12,"Media","Hierba ","Perenne","NE"
"5003",116369397,"2022-04-24","astridnautas","visitante",1,-34.2685024596,-57.3742267862,"Colonia","Magnoliopsida","Asteraceae","Baccharis punctulata",12,"Media","Arbusto","Perenne","LC"
