"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"249","research","Río Negro","Erythrostemon gilliesii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrostemon"
"250","research","Treinta y Tres","Exostigma rivulare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Exostigma"
"251","research","Treinta y Tres","Gyptis commersonii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gyptis"
"252","research","Treinta y Tres","Radlkoferotoma cistifolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Radlkoferotoma"
"253","research","Canelones","Senecio viravira","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"254","research","Cerro Largo","Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea"
"255","research","Montevideo","Cosmos bipinnatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cosmos"
"256","research","Maldonado","Galactia australis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Galactia"
"257","research","Rocha","Canavalia bonariensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Canavalia"
"258","research","Colonia","Aeschynomene montevidensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene"
"259","research","Montevideo","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"260","research","Rocha","Cotula coronopifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cotula"
"261","research","Paysandú","Lactuca saligna","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lactuca"
"262","research","Maldonado","Gazania rigens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gazania"
"263","research","Lavalleja","Panphalea heterophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pamphalea"
"264","research","Lavalleja","Mimosa pilulifera","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa"
"265","research","Lavalleja","Calliandra selloi","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Calliandra"
"266","research","San José","Glycine max","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Glycine"
"267","research","Treinta y Tres","Clitoria nana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Clitoria"
"268","research","Río Negro","Podocoma hirsuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Podocoma"
"269","research","Artigas","Arachis burkartii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Arachis"
"270","research","Salto","Gleditsia amorphoides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Gleditsia"
