id,observado,usuario,latitude,longitude,place_admin1_name,especie,clase,familia,distribucion,largo_cm,status_global,status_regional,nivel,ranking
120077459,2022-06-03,elena_26,-34.9165878056,-54.9477920278,Maldonado,Stephanophorus diadematus,Aves,Thraupidae,19,18,LC,LC,intermedio,16
120078952,2022-05-22,elena_26,-34.8641879333,-55.2716277167,Maldonado,Passer domesticus,Aves,Passeridae,19,13,LC,NE,intermedio,16
120089781,2020-11-12,batitu,-34.9363205,-54.9377826,Maldonado,Butorides striata,Aves,Ardeidae,19,34,LC,LC,intermedio,13
120089782,2020-12-06,batitu,-34.6284572,-54.2920769,Rocha,Anthus correndera,Aves,Motacillidae,19,14,LC,LC,intermedio,13
120089783,2020-12-13,batitu,-33.6740514,-54.2101894,Rocha,Heteronetta atricapilla,Aves,Anatidae,14,36,LC,DD,intermedio,13
120089785,2020-12-13,batitu,-33.6740514,-54.2101894,Rocha,Mycteria americana,Aves,Ciconiidae,19,65,LC,LC,intermedio,13
120089786,2020-12-13,batitu,-33.6640280386,-54.2897260991,Rocha,Xanthopsar flavus,Aves,Icteridae,12,19,VU,VU,intermedio,13
120089787,2020-12-13,batitu,-33.6740514,-54.2101894,Rocha,Platalea ajaja,Aves,Threskiornithidae,19,55,LC,LC,intermedio,13
120089789,2020-12-13,batitu,-33.6740514,-54.2101894,Rocha,Sicalis luteola,Aves,Thraupidae,19,12,LC,LC,intermedio,13
120089791,2020-12-13,batitu,-33.6091602721,-54.2917339566,Rocha,Sporophila palustris,Aves,Thraupidae,9,9,EN,VU,intermedio,13
120089793,2020-12-13,batitu,-33.6740514,-54.2101894,Rocha,Netta peposaca,Aves,Anatidae,19,46,LC,LC,intermedio,13
120089794,2020-12-26,batitu,-34.7617171,-56.4286891,San José,Heteronetta atricapilla,Aves,Anatidae,14,36,LC,DD,intermedio,13
120089795,2020-12-26,batitu,-34.7617171,-56.4286891,San José,Fregata magnificens,Aves,Fregatidae,6,65,LC,LC,intermedio,13
120090497,2020-06-07,batitu,-34.9011127,-56.1645314,Montevideo,Colaptes melanochloros,Aves,Picidae,19,23,LC,LC,intermedio,13
120090498,2020-10-09,batitu,-32.142282,-53.730612,Cerro Largo,Philodryas olfersii,Reptilia,Colubridae,4,150,NE,LC,intermedio,13
120090499,2019-02-17,batitu,-32.142282,-53.730612,Cerro Largo,Phylloscartes ventralis,Aves,Tyrannidae,19,10,LC,LC,intermedio,13
120090500,2012-01-17,batitu,-32.142282,-53.730612,Cerro Largo,Tyrannus savana,Aves,Tyrannidae,19,38,LC,LC,intermedio,13
120090501,2016-05-21,batitu,-32.142282,-53.730612,Cerro Largo,Ctenomys torquatus,Mammalia,Ctenomyidae,12,26,LC,LC,intermedio,13
120090504,2020-01-11,batitu,-34.6211795775,-56.5954877992,San José,Ctenomys pearsoni,Mammalia,Ctenomyidae,6,26,NT,VU,intermedio,13
120091457,2020-11-09,batitu,-30.2609293,-57.5929166,Artigas,Myiarchus tyrannulus,Aves,Tyrannidae,1,18,LC,NE,intermedio,13
120091459,2020-11-10,batitu,-30.5612459041,-57.4616288507,Artigas,Coryphistera alaudina,Aves,Furnariidae,6,15,LC,NT,intermedio,13
120091462,2020-11-07,batitu,-30.4275769,-57.4429285,Artigas,Falco femoralis,Aves,Falconidae,19,35,LC,LC,intermedio,13
120091466,2020-11-09,batitu,-30.1955115264,-57.6335892882,Artigas,Mazama gouazoubira,Mammalia,Cervidae,19,210,LC,NT,intermedio,13
120091468,2020-11-09,batitu,-30.2609293,-57.5929166,Artigas,Ixobrychus involucris,Aves,Ardeidae,13,28,LC,LC,intermedio,13
120091472,2020-11-10,batitu,-30.4275769,-57.4429285,Artigas,Bubo virginianus,Aves,Strigidae,19,51,LC,LC,intermedio,13
120091473,2020-11-09,batitu,-30.2609293,-57.5929166,Artigas,Myiarchus ferox,Aves,Tyrannidae,1,18,LC,NE,intermedio,13
120091474,2020-11-10,batitu,-30.4275769,-57.4429285,Artigas,Porphyrio martinica,Aves,Rallidae,19,32,LC,LC,intermedio,13
120091478,2020-11-07,batitu,-30.5156028639,-57.4792993875,Artigas,Polystictus pectoralis,Aves,Tyrannidae,19,9,NT,VU,intermedio,13
120091480,2020-11-10,batitu,-30.2609293,-57.5929166,Artigas,Xenopsaris albinucha,Aves,Tityridae,3,13,LC,NE,intermedio,13
120091481,2020-11-08,batitu,-30.4275769,-57.4429285,Artigas,Empidonomus varius,Aves,Tyrannidae,10,17,LC,LC,intermedio,13
120091483,2020-11-08,batitu,-30.4275769,-57.4429285,Artigas,Dendrocygna autumnalis,Aves,Anatidae,9,41,LC,NE,intermedio,13
120091484,2020-11-10,batitu,-30.4275769,-57.4429285,Artigas,Myiopagis viridicata,Aves,Tyrannidae,3,12,LC,DD,intermedio,13
120091485,2020-11-08,batitu,-30.4275769,-57.4429285,Artigas,Coryphospingus cucullatus,Aves,Thraupidae,19,12,LC,LC,intermedio,13
120091487,2020-11-08,batitu,-30.4275769,-57.4429285,Artigas,Sicalis flaveola,Aves,Thraupidae,19,12,LC,LC,intermedio,13
120091490,2020-11-08,batitu,-30.4275769,-57.4429285,Artigas,Elaenia parvirostris,Aves,Tyrannidae,19,13,LC,LC,intermedio,13
120091491,2020-11-10,batitu,-30.4275769,-57.4429285,Artigas,Jacana jacana,Aves,Jacanidae,19,25,LC,LC,intermedio,13
120091493,2020-11-08,batitu,-30.4275769,-57.4429285,Artigas,Chordeiles nacunda,Aves,Caprimulgidae,19,28,LC,LC,intermedio,13
120091498,2020-11-10,batitu,-30.4275769,-57.4429285,Artigas,Nycticryphes semicollaris,Aves,Rostratulidae,19,19,LC,LC,intermedio,13
120091684,2020-02-08,batitu,-33.8352969843,-54.8700462863,Lavalleja,Gubernatrix cristata,Aves,Thraupidae,15,18,EN,EN,intermedio,13
120093605,2019-01-05,batitu,-34.7262994068,-56.427058198,San José,Asio flammeus,Aves,Strigidae,19,40,LC,NT,intermedio,13
120093606,2019-01-05,batitu,-34.7903355,-56.3502545,Montevideo,Lathrotriccus euleri,Aves,Tyrannidae,19,12,LC,LC,intermedio,13
120093609,2019-01-06,batitu,-34.7152231,-56.5228415,San José,Volatinia jacarina,Aves,Thraupidae,19,10,LC,LC,intermedio,13
120093610,2019-01-19,batitu,-34.7617171,-56.4286891,San José,Pandion haliaetus,Aves,Pandionidae,13,58,LC,LC,intermedio,13
120093611,2019-01-19,batitu,-34.7617171,-56.4286891,San José,Synallaxis spixi,Aves,Furnariidae,19,15,LC,LC,intermedio,13
120093613,2019-01-19,batitu,-34.7617171,-56.4286891,San José,Poospiza nigrorufa,Aves,Thraupidae,19,13,LC,LC,intermedio,13
120093614,2019-01-26,batitu,-33.7359274291,-54.3829847176,Rocha,Circus cinereus,Aves,Accipitridae,19,48,LC,VU,intermedio,13
120093616,2019-01-26,batitu,-33.6569534609,-54.2403838583,Rocha,Ammodramus humeralis,Aves,Passerellidae,19,11,LC,LC,intermedio,13
120093617,2019-01-26,batitu,-33.639090869,-54.2645881125,Rocha,Geranoaetus albicaudatus,Aves,Accipitridae,19,53,LC,LC,intermedio,13
120093618,2019-01-26,batitu,-33.6247366598,-54.2208540471,Rocha,Emberizoides ypiranganus,Aves,Thraupidae,12,16,LC,VU,intermedio,13
120093619,2019-01-26,batitu,-33.6452360189,-54.2673346945,Rocha,Callonetta leucophrys,Aves,Anatidae,19,31,LC,LC,intermedio,13
120093621,2019-01-26,batitu,-33.617900245,-54.2466720797,Rocha,Sporophila collaris,Aves,Thraupidae,14,11,LC,VU,intermedio,13
120093622,2019-01-26,batitu,-33.6115146698,-54.3965550328,Rocha,Limnoctites sulphuriferus,Aves,Furnariidae,18,15,LC,NT,intermedio,13
120093624,2019-01-26,batitu,-33.6393766997,-54.2741986067,Rocha,Pseudocolopteryx flaviventris,Aves,Tyrannidae,19,10,LC,LC,intermedio,13
120093625,2019-01-26,batitu,-33.6871411634,-54.3106635637,Rocha,Limnoctites rectirostris,Aves,Furnariidae,13,15,NT,VU,intermedio,13
120093627,2019-01-26,batitu,-33.6569534609,-54.249825234,Rocha,Columbina talpacoti,Aves,Columbidae,19,15,LC,LC,intermedio,13
120093628,2019-01-27,batitu,-34.7617171,-56.4286891,San José,Pandion haliaetus,Aves,Pandionidae,13,58,LC,LC,intermedio,13
120093629,2019-02-02,batitu,-34.7617171,-56.4286891,San José,Pandion haliaetus,Aves,Pandionidae,13,58,LC,LC,intermedio,13
120093630,2019-02-10,batitu,-34.776358009,-55.374710639,Maldonado,Porzana spiloptera,Aves,Rallidae,9,15,VU,EN,intermedio,13
120093631,2019-02-23,batitu,-34.9127992,-56.1651513,Montevideo,Parabuteo unicinctus,Aves,Accipitridae,19,50,LC,LC,intermedio,13
120093634,2019-03-30,batitu,-34.7617171,-56.4286891,San José,Pandion haliaetus,Aves,Pandionidae,13,58,LC,LC,intermedio,13
120093636,2019-03-31,batitu,-34.6133941724,-55.4576314139,Maldonado,Porzana spiloptera,Aves,Rallidae,9,15,VU,EN,intermedio,13
120093637,2019-04-27,batitu,-34.8947363,-55.250782,Maldonado,Stercorarius parasiticus,Aves,Stercorariidae,6,39,LC,LC,intermedio,13
120093638,2019-05-01,batitu,-34.7152231,-56.5228415,San José,Mimus triurus,Aves,Mimidae,19,20,LC,LC,intermedio,13
120093640,2019-05-01,batitu,-34.7152231,-56.5228415,San José,Elanus leucurus,Aves,Accipitridae,19,40,LC,LC,intermedio,13
120093641,2019-05-01,batitu,-34.7152231,-56.5228415,San José,Circus buffoni,Aves,Accipitridae,19,52,LC,LC,intermedio,13
120093642,2019-05-01,batitu,-34.7152231,-56.5228415,San José,Piranga flava,Aves,Cardinalidae,19,17,LC,LC,intermedio,13
120093644,2019-05-01,batitu,-34.7152231,-56.5228415,San José,Piranga flava,Aves,Cardinalidae,19,17,LC,LC,intermedio,13
120179255,2022-06-04,tianal,-33.2446629347,-58.0477246851,Soriano,Ardea alba,Aves,Ardeidae,19,65,LC,LC,principiante,55
120231650,2022-05-30,luisvescia,-32.3661519544,-54.1885828972,Cerro Largo,Lochmias nematura,Aves,Furnariidae,19,13,LC,LC,intermedio,3
120232048,2022-06-03,luisvescia,-32.1435455165,-53.7866752098,Cerro Largo,Mackenziaena leachii,Aves,Thamnophilidae,1,25,LC,NE,intermedio,3
120232228,2022-06-03,luisvescia,-32.1410745543,-53.773049588,Cerro Largo,Mimus saturninus,Aves,Mimidae,19,25,LC,LC,intermedio,3
120240647,2022-06-04,diego_caballero,-34.0994751852,-56.1220543814,Florida,Geranoaetus melanoleucus,Aves,Accipitridae,19,65,LC,VU,experimentado,7
