,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm)
122,research,Lepidocolaptes angustirostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,Abundante,18
423,research,Lepidocolaptes falcinellus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,Rara,17
361,research,Leptasthenura platensis,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Leptasthenura,Abundante,16
519,research,Leptopogon amaurocephalus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Leptopogon,NA,NA
270,research,Leptotila rufaxilla,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,Abundante,25
258,research,Leptotila verreauxi,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,Abundante,26
262,research,Lessonia rufa,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Lessonia,Abuntante,11
549,research,Leucocarbo atriceps,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,NA,NA
120,research,Leucochloris albicollis,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Leucochloris,Abundante,8
584,research,Leucophaeus pipixcan,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,Rara,33
211,research,Limnoctites rectirostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Limnoctites,Abundante,15
276,research,Limnoctites sulphuriferus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Limnoctites,NA,NA
483,research,Limnornis curvirostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Limnornis,Abundante,16
139,research,Limosa haemastica,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Comun,34
229,research,Lochmias nematura,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lochmias,Abundante,13
119,research,Machetornis rixosa,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Machetornis,Abundante,17
349,research,Mackenziaena leachii,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Mackenziaena,Rara,25
238,research,Macronectes giganteus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,Rara,95
428,research,Macronectes halli,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,Rara,90
405,research,Mareca sibilatrix,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,Abundante,43
125,research,Megaceryle torquata,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,Abundante,36
542,research,Megarynchus pitangua,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Megarynchus,Rara,21
168,research,Megascops choliba,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,Abundante,23
490,research,Megascops sanctaecatarinae,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,Abundante,28
504,research,Melanerpes cactorum,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Comun,16
208,research,Melanerpes candidus,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Abundante,24
347,research,Melopsittacus undulatus,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Melopsittacus,NA,NA
339,research,Microspingus cabanisi,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Microspingus,Abundante,13
437,research,Microspingus melanoleucus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Microspingus,Abundante,12
594,research,Microspingus torquatus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Microspingus,Rara,14
342,research,Milvago chimachima,Animalia,Chordata,Aves,Falconiformes,Falconidae,Milvago,Abundante,37
14,research,Milvago chimango,Animalia,Chordata,Aves,Falconiformes,Falconidae,Milvago,Abundante,37
17,research,Mimus saturninus,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,Abundante,25
267,research,Mimus triurus,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,Abundante,20
115,research,Molothrus bonariensis,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Abundante,19
377,research,Molothrus rufoaxillaris,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Abundante,18
375,research,Muscisaxicola albilora,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Muscisaxicola,Rara,17
398,research,Muscisaxicola maclovianus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Muscisaxicola,Abundante,15
579,research,Mustelirallus albicollis,Animalia,Chordata,Aves,Gruiformes,Rallidae,Mustelirallus,Rara,21
193,research,Mycteria americana,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,Abundante,65
543,research,Myiarchus ferox,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,Rara,18
123,research,Myiarchus swainsoni,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,Abundante,18
511,research,Myiarchus tyrannulus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,Rara,18
191,research,Myiodynastes maculatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiodynastes,Abundante,19
566,research,Myiopagis viridicata,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiopagis,Abundante,12
257,research,Myiophobus fasciatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiophobus,Abuntante,12
9,research,Myiopsitta monachus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta,Abundante,27
337,research,Myiothlypis leucoblephara,Animalia,Chordata,Aves,Passeriformes,Parulidae,Myiothlypis,Abundante,12
15,research,Nannopterum brasilianum,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Nannopterum,Abundante,63
568,research,Nemosia pileata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Nemosia,Rara,13
81,research,Nengetus cinereus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Nengetus,NA,NA
479,research,Neoxolmis coronatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Neoxolmis,Abundante,20
442,research,Neoxolmis rufiventris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Neoxolmis,Abundante,23
421,research,Netta peposaca,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,Abundante,46
402,research,Nomonyx dominicus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Nomonyx,Abundante,33
95,research,Nothura maculosa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Nothura,Abundante,25
496,research,Numenius phaeopus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Rara,37
491,research,Nyctibius griseus,Animalia,Chordata,Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,Comun,35
45,research,Nycticorax nycticorax,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Abundante,47
454,research,Nycticryphes semicollaris,Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,Nycticryphes,Abundante,19
592,research,Nyctidromus albicollis,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus,Rara,29
557,research,Oceanites oceanicus,Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,Oceanites,Rara,17
333,research,Oreopholus ruficollis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Oreopholus,Abundante,27
443,research,Oxyura vittata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Comun,35
512,research,Pachyptila belcheri,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Rara,26
148,research,Pachyramphus polychopterus,Animalia,Chordata,Aves,Passeriformes,Tityridae,Pachyramphus,Abundante,15
505,research,Pachyramphus validus,Animalia,Chordata,Aves,Passeriformes,Tityridae,Pachyramphus,Rara,17
198,research,Pachyramphus viridis,Animalia,Chordata,Aves,Passeriformes,Tityridae,Pachyramphus,Abundante,14
329,research,Pandion haliaetus,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Abundante,58
111,research,Parabuteo unicinctus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,Abundante,50
545,research,Pardirallus maculatus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Pardirallus,Abundante,26
228,research,Pardirallus sanguinolentus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Pardirallus,Abundante,29
466,research,Paroaria capitata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Paroaria,Rara,16
1,research,Paroaria coronata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Paroaria,Abundante,17
100,research,Passer domesticus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Abundante,13
468,research,Patagioenas cayennensis,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Comun,30
99,research,Patagioenas maculosa,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Abundante,33
86,research,Patagioenas picazuro,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Abundante,35
158,research,Penelope obscura,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,Abundante,69
389,research,Petrochelidon pyrrhonota,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,Abundante,14
530,research,Phacellodomus ferrugineigula,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,Rara,18
478,research,Phacellodomus ruber,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,Rara,18
379,research,Phacellodomus sibilatrix,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,Abundante,12
264,research,Phacellodomus striaticollis,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,Comun,16
472,research,Phaetusa simplex,Animalia,Chordata,Aves,Charadriiformes,Laridae,Phaetusa,Comun,38
445,research,Phalaropus tricolor,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,Abundante,21
83,research,Phimosus infuscatus,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,Abundante,40
226,research,Phleocryptes melanops,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phleocryptes,Abundante,13
223,research,Phoenicopterus chilensis,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Rara,75
574,research,Phyllomyias burmeisteri,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Phyllomyias,Rara,11
204,research,Phylloscartes ventralis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Phylloscartes,Abuntante,10
446,research,Phytotoma rutila,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Phytotoma,Abundante,17
196,research,Piaya cayana,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Piaya,Abundante,44
538,research,Piculus aurulentus,Animalia,Chordata,Aves,Piciformes,Picidae,Piculus,Rara,21
357,research,Picumnus cirratus,Animalia,Chordata,Aves,Piciformes,Picidae,Picumnus,Comun,8
207,research,Picumnus nebulosus,Animalia,Chordata,Aves,Piciformes,Picidae,Picumnus,Comun,9
390,research,Pipraeidea melanonota,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Pipraeidea,Abundante,14
248,research,Piranga flava,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Abundante,17
90,research,Pitangus sulphuratus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Abundante,22
76,research,Platalea ajaja,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,Abundante,55
73,research,Plegadis chihi,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,Abundante,40
41,research,Pluvialis dominica,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Abundante,23
416,research,Pluvialis squatarola,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Rara,25
551,research,Pluvianellus socialis,Animalia,Chordata,Aves,Charadriiformes,Pluvianellidae,Pluvianellus,NA,NA
164,research,Podiceps major,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Abundante,51
452,research,Podiceps occipitalis,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Rara,26
230,research,Podilymbus podiceps,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,Abundante,29
464,research,Poecilotriccus plumbeiceps,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Poecilotriccus,Rara,9
261,research,Polioptila dumicola,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,Abundante,11
315,research,Polystictus pectoralis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Polystictus,Abundante,9
199,research,Poospiza nigrorufa,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Poospiza,Abundante,13
412,research,Porphyrio martinica,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Abundante,32
13,research,Porphyriops melanops,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyriops,Abundante,20
571,research,Porzana spiloptera,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Rara,15
413,research,Procellaria aequinoctialis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Rara,56
56,research,Progne chalybea,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,Abundante,18
475,research,Progne elegans,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,Comun,18
49,research,Progne tapera,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,Abundante,16
277,research,Pseudocolopteryx flaviventris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pseudocolopteryx,Abundante,10
513,research,Pseudocolopteryx sclateri,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pseudocolopteryx,Abundante,9
355,research,Pseudoleistes guirahuro,Animalia,Chordata,Aves,Passeriformes,Icteridae,Pseudoleistes,Abundante,22
91,research,Pseudoleistes virescens,Animalia,Chordata,Aves,Passeriformes,Icteridae,Pseudoleistes,Abundante,21
301,research,Pseudoseisura lophotes,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Pseudoseisura,Abundante,23
387,research,Psittacara leucophthalmus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacara,Abundante,33
323,research,Puffinus puffinus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Rara,34
132,research,Pygochelidon cyanoleuca,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Pygochelidon,Abundante,11
44,research,Pyrocephalus rubinus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,Abundante,13
599,research,Pyroderus scutatus,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Pyroderus,Rara,41
365,research,Pyrrhura frontalis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,Rara,24
396,research,Ramphastos toco,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,Rara,53
173,research,Rauenia bonariensis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Rauenia,Abundante,17
28,research,Rhea americana,Animalia,Chordata,Aves,Rheiformes,Rheidae,Rhea,Abundante,140
583,research,Rhopospina fruticeti,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Rhopospina,Comun,15
408,research,Rhynchotus rufescens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Rhynchotus,Abundante,41
522,research,Riparia riparia,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,Abundante,11
23,research,Rollandia rolland,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Rollandia,Abundante,25
269,research,Rostrhamus sociabilis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,Abundante,41
69,research,Rupornis magnirostris,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rupornis,Abundante,38
85,research,Rynchops niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops,Comun,40
234,research,Saltator aurantiirostris,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,Abundante,18
477,research,Saltator coerulescens,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,Rara,20
350,research,Saltator similis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,Abundante,19
227,research,Satrapa icterophrys,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Satrapa,Abundante,16
363,research,Schoeniophylax phryganophilus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Schoeniophylax,Abundante,18
526,research,Serpophaga griseicapilla,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,Abundante,9
278,research,Serpophaga nigricans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,Abundante,11
265,research,Serpophaga subcristata,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,Abundante,9
327,research,Setopagis parvula,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Setopagis,Abundante,20
124,research,Setophaga pitiayumi,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Abundante,9
11,research,Sicalis flaveola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sicalis,Abundante,12
202,research,Sicalis luteola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sicalis,Abundante,12
370,research,Sittasomus griseicapillus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Sittasomus,Rara,14
497,research,Spartonoica maluroides,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Spartonoica,Abundante,13
404,research,Spatula cyanoptera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Comun,37
336,research,Spatula platalea,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Abundante,43
185,research,Spatula versicolor,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Abundante,37
19,research,Spheniscus magellanicus,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Rara,47
163,research,Spinus magellanicus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Abundante,12
249,research,Sporophila caerulescens,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Abundante,11
303,research,Sporophila cinnamomea,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Abundante,9
144,research,Sporophila collaris,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Abundante,11
411,research,Sporophila hypochroma,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Abundante,9
399,research,Sporophila hypoxantha,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Comun,9
582,research,Sporophila leucoptera,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,NA,NA
317,research,Sporophila palustris,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Comun,9
558,research,Sporophila pileata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Rara,11
321,research,Sporophila ruficollis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Comun,9
371,research,Stelgidopteryx ruficollis,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,Abundante,13
235,research,Stephanophorus diadematus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stephanophorus,Abundante,18
572,research,Stercorarius antarcticus,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Rara,60
573,research,Stercorarius chilensis,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Rara,54
577,research,Stercorarius maccormicki,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Rara,52
403,research,Stercorarius parasiticus,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Rara,39
237,research,Sterna hirundinacea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Comun,38
310,research,Sterna hirundo,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Rara,31
575,research,Sterna paradisaea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Rara,34
87,research,Sterna trudeaui,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Comun,32
292,research,Sternula superciliaris,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,Abundante,23
604,research,Stilpnia peruviana,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,NA,NA
151,research,Stilpnia preciosa,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,Abundante,15
129,research,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Abundante,20
514,research,Sublegatus modestus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sublegatus,Abundante,13
552,research,Suiriri suiriri,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Suiriri,Abundante,13
605,research,Sula dactylatra,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,Rara,87
580,research,Synallaxis albescens,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Synallaxis,Abundante,14
373,research,Synallaxis frontalis,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Synallaxis,Abundante,15
358,research,Synallaxis spixi,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Synallaxis,Abundante,15
338,research,Syndactyla rufosuperciliata,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Syndactyla,Abundante,16
55,research,Syrigma sibilatrix,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Syrigma,Abundante,48
434,research,Systellura longirostris,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Systellura,Abundante,23
354,research,Tachuris rubrigastra,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tachuris,Abuntante,10
319,research,Tachybaptus dominicus,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,Comun,21
493,research,Tachycineta leucopyga,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,NA,NA
186,research,Tachycineta leucorrhoa,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Abundante,13
537,research,Tachyphonus coronatus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tachyphonus,Rara,16
407,research,Tapera naevia,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Tapera,Abundante,28
353,research,Thalassarche chlororhynchos,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Rara,81
400,research,Thalassarche melanophris,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Rara,90
252,research,Thalasseus maximus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Rara,44
251,research,Thalasseus sandvicensis,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Comun,40
138,research,Thamnophilus caerulescens,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Abundante,13
166,research,Thamnophilus ruficapillus,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Abundante,16
25,research,Theristicus caerulescens,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,Abundante,62
156,research,Theristicus caudatus,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,Abundante,57
444,research,Thinocorus rumicivorus,Animalia,Chordata,Aves,Charadriiformes,Thinocoridae,Thinocorus,Rara,19
244,research,Thraupis sayaca,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thraupis,Abundante,15
67,research,Tigrisoma lineatum,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Tigrisoma,Abundante,62
424,research,Tolmomyias sulphurescens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tolmomyias,Rara,13
52,research,Tringa flavipes,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Abundante,25
98,research,Tringa melanoleuca,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Abundante,33
457,research,Tringa solitaria,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Abundante,20
187,research,Troglodytes aedon,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Abundante,10
527,research,Trogon surrucura,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,Rara,24
345,research,Turdus albicollis,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Abundante,19
114,research,Turdus amaurochalinus,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Abundante,21
601,research,Turdus flavipes,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Rara,21
523,research,Turdus leucomelas,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Rara,21
79,research,Turdus rufiventris,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Abundante,23
520,research,Turdus subalaris,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Comun,20
118,research,Tyrannus melancholicus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Abundante,20
39,research,Tyrannus savana,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Abundante,38
449,research,Tyrannus tyrannus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,NA,NA
401,research,Tyto alba,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Abudnante,38
21,research,Vanellus chilensis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Abundante,32
245,research,Vireo chivi,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Abundante,14
458,research,Volatinia jacarina,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Volatinia,Abundante,10
224,research,Xanthopsar flavus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthopsar,Abundante,19
565,research,Xenopsaris albinucha,Animalia,Chordata,Aves,Passeriformes,Tityridae,Xenopsaris,Rara,13
46,research,Xolmis irupero,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Xolmis,Abundante,17
62,research,Zenaida auriculata,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Abundante,23
40,research,Zonotrichia capensis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,Abundante,12
429,research,Akodon azarae,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Abundante,17
467,research,Alouatta caraya,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,NA,NA
32,research,Arctocephalus australis,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Rara,150
517,research,Arctocephalus gazella,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Rara,150
600,research,Arctocephalus tropicalis,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Rara,"1,6"
213,research,Axis axis,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Abundante,140
554,research,Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Rara,625
588,research,Cabassous tatouay,Animalia,Chordata,Mammalia,Cingulata,Chlamyphoridae,Cabassous,Rara,70
470,research,Calomys laucha,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Calomys,Abundante,13
440,research,Canis familiaris,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,NA,NA
448,research,Capra hircus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Abundante,125
42,research,Cavia aperea,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Abundante,24
37,research,Cerdocyon thous,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cerdocyon,Abundante,110
553,research,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,NA,NA
