,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm)
104,research,Physalaemus biligonigerus,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,Abundante,4
178,research,Physalaemus gracilis,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,Abundante,4
516,research,Physalaemus henselii,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,Abundante,2
589,research,Physalaemus riograndensis,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,Abundante,"1,7"
382,research,Pleurodema bibroni,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Pleurodema,Abundante,NA
190,research,Pseudis minuta,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,Abundante,5
216,research,Pseudopaludicola falcipes,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Pseudopaludicola,Abundante,2
541,research,Rhinella achavali,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Comun,NA
31,research,Rhinella arenarum,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Comun,"11,5"
179,research,Rhinella diptycha,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,NA,NA
5,research,Rhinella dorbignyi,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Comun,7
217,research,Scinax fuscovarius,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,Rara,"5,5"
6,research,Scinax granulatus,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,Abundante,4
291,research,Scinax nasicus,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,Rara,"3,9"
241,research,Scinax squalirostris,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,Abundante,3
415,research,Scinax uruguayus,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,Abundante,"2,6"
233,research,Accipiter bicolor,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Abundante,35
135,research,Accipiter striatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Abundante,26
484,research,Actitis macularius,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Rara,17
462,research,Agapornis personatus,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Agapornis,NA,NA
157,research,Agelaioides badius,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaioides,Abundante,18
498,research,Agelasticus cyanopus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelasticus,Rara,18
242,research,Agelasticus thilius,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelasticus,Abundante,17
593,research,Agriornis murinus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Agriornis,Rara,16
360,research,Alopochelidon fucata,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Alopochelidon,Abundante,11
506,research,Amazona aestiva,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,NA,NA
12,research,Amazonetta brasiliensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Amazonetta,Abundante,36
322,research,Amblyramphus holosericeus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Amblyramphus,Abundante,22
80,research,Ammodramus humeralis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,Comun,11
550,research,Anairetes flavirostris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Anairetes,NA,NA
419,research,Anas bahamensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Abundante,39
113,research,Anas flavirostris,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Abundante,34
260,research,Anas georgica,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Abundante,44
121,research,Anas platyrhynchos,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,NA,NA
480,research,Anhima cornuta,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Anhima,Rara,84
471,research,Anhinga anhinga,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,Abundante,66
112,research,Anser anser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,NA,NA
