"","user_id","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario","user_login"
"128",1357537,"2018-11-19 18:43:27 UTC","2022-02-02 01:18:25 UTC",9,1171.27428240741,0.00768393888193432,"principiante","psamofila"
"129",1358530,"2018-11-19 18:19:19 UTC","2018-11-19 18:19:19 UTC",1,1,1,"principiante","leomoreira"
"130",1360022,"2019-01-09 22:16:43 UTC","2019-01-09 22:16:43 UTC",1,1,1,"principiante","nataliandtrees"
"131",1360635,"2020-04-06 20:01:32 UTC","2021-10-17 16:05:50 UTC",14,559.836319444444,0.0250073093040711,"principiante","ministrebertin"
"132",1360712,"2020-11-16 17:46:12 UTC","2021-12-29 01:56:32 UTC",33,408.340509259259,0.0808149063140047,"principiante","luca_borgarelli"
"133",1365479,"2018-11-24 17:42:58 UTC","2019-12-15 15:17:39 UTC",3,386.899085648148,0.00775395991172811,"principiante","atenca"
"134",1366945,"2018-11-25 21:46:24 UTC","2021-12-15 20:45:02 UTC",50,1116.95738425926,0.0447644652379991,"principiante","anaclarabeasley"
"135",1367048,"2018-11-25 23:05:29 UTC","2018-11-25 23:05:29 UTC",1,1,1,"principiante","carolinaromero"
"136",1369915,"2018-11-28 01:01:56 UTC","2018-11-28 01:01:56 UTC",1,1,1,"principiante","jimmyclaro"
"137",1371404,"2021-10-24 13:39:49 UTC","2021-11-04 02:53:06 UTC",17,11.5508912037037,1.47174791106586,"principiante","alelic2016"
"138",1371412,"2019-08-26 21:40:11 UTC","2019-08-26 21:45:12 UTC",3,1.0034837962963,2.98958489521459,"principiante","bilma"
"139",1373169,"2018-11-30 23:21:49 UTC","2022-08-13 20:05:28 UTC",29,1352.86364583333,0.021436011004743,"principiante","vesniqui"
"140",1374728,"2018-12-01 16:39:16 UTC","2019-03-30 12:26:30 UTC",2,119.824467592593,0.0166910818815408,"principiante","mariela27"
"141",1380694,"2021-04-14 14:46:16 UTC","2022-02-28 22:09:37 UTC",10,321.307881944444,0.0311227970489969,"principiante","estebanrussi"
"142",1384163,"2018-12-08 19:01:04 UTC","2022-10-16 21:59:18 UTC",1158,1409.12377314815,0.821787285167216,"experimentado","pablobaldu"
