,X,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm),IUCNglobal,IUCNregional,trendGlobal,n
81,205,research,Bubo virginianus,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,19,51,LC,LC,Stable,36
82,109,research,Bubulcus ibis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,19,37,LC,LC,Increasing,32
83,507,research,Busarellus nigricollis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Busarellus,7,48,LC,NE,Decreasing,1
84,299,research,Buteo swainsoni,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,19,48,LC,LC,Stable,11
85,27,research,Buteogallus meridionalis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,19,51,LC,LC,Stable,48
86,487,research,Buteogallus urubitinga,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,16,61,LC,LC,Decreasing,7
87,206,research,Butorides striata,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,19,34,LC,LC,Stable,30
88,372,research,Cacicus chrysopterus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,9,21,LC,LC,Stable,18
89,473,research,Cacicus haemorrhous,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,1,24,LC,NE,Decreasing,2
90,495,research,Cacicus solitarius,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,14,24,LC,NT,Stable,5
91,259,research,Cairina moschata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,10,73,LC,EN,Decreasing,7
92,280,research,Calidris alba,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,6,19,LC,LC,Unknown,18
93,476,research,Calidris bairdii,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,10,17,LC,LC,Stable,6
94,326,research,Calidris canutus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,8,23,NT,EN,Decreasing,14
95,54,research,Calidris fuscicollis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,19,16,LC,LC,Decreasing,62
96,414,research,Calidris himantopus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,8,21,LC,LC,Increasing,8
97,167,research,Calidris melanotos,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,19,20,LC,LC,Stable,20
98,509,research,Calidris minutilla,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,2,13,LC,NE,Decreasing,2
99,147,research,Calidris subruficollis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,19,20,NT,VU,Decreasing,22
100,188,research,Callonetta leucophrys,Animalia,Chordata,Aves,Anseriformes,Anatidae,Callonetta,19,31,LC,LC,Decreasing,25
101,556,research,Calonectris diomedea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,1,50,LC,NE,Decreasing,NA
102,499,research,Campephilus leucopogon,Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,7,29,LC,VU,Stable,3
103,285,research,Camptostoma obsoletum,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Camptostoma,19,9,LC,LC,Stable,21
104,60,research,Caracara plancus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,19,55,LC,LC,Increasing,155
105,243,research,Carduelis carduelis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,14,12,LC,NE,Decreasing,14
106,160,research,Cariama cristata,Animalia,Chordata,Aves,Cariamiformes,Cariamidae,Cariama,19,70,LC,LC,Stable,26
107,544,research,Casiornis rufus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Casiornis,1,16,LC,VU,Decreasing,5
108,43,research,Cathartes aura,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,19,60,LC,LC,Stable,115
109,57,research,Cathartes burrovianus,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,19,56,LC,LC,Stable,19
110,274,research,Certhiaxis cinnamomeus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Certhiaxis,19,13,LC,NT,Decreasing,10
111,587,research,Chaetura meridionalis,Animalia,Chordata,Aves,Caprimulgiformes,Apodidae,Chaetura,2,12,LC,NE,Stable,2
112,68,research,Charadrius collaris,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,19,14,LC,LC,Decreasing,53
113,140,research,Charadrius falklandicus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,6,16,LC,LC,Stable,18
114,246,research,Charadrius modestus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,19,19,LC,LC,Unknown,20
115,50,research,Charadrius semipalmatus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,5,15,LC,LC,Stable,24
116,70,research,Chauna torquata,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Chauna,19,85,LC,LC,Stable,108
117,489,research,Chionis albus,Animalia,Chordata,Aves,Charadriiformes,Chionidae,Chionis,4,37,LC,LC,Stable,8
118,397,research,Chloris chloris,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,10,14,LC,NE,Stable,5
119,78,research,Chloroceryle amazona,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Chloroceryle,19,26,LC,LC,Decreasing,33
120,89,research,Chloroceryle americana,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Chloroceryle,19,18,LC,LC,Decreasing,53
121,481,research,Chlorophonia cyanocephala,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chlorophonia,1,10,LC,NE,Unknown,4
122,77,research,Chlorostilbon lucidus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Chlorostilbon,19,7,LC,LC,Unknown,85
123,508,research,Chordeiles minor,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,19,22,LC,LC,Decreasing,2
124,201,research,Chordeiles nacunda,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,19,28,LC,LC,Stable,18
125,116,research,Chroicocephalus cirrocephalus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,15,38,LC,LC,NA,16
126,51,research,Chroicocephalus maculipennis,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,19,35,LC,LC,NA,124
127,171,research,Chrysomus ruficapillus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Chrysomus,19,17,LC,LC,Stable,30
128,48,research,Ciconia maguari,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,19,85,LC,LC,Stable,91
129,304,research,Cinclodes fuscus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cinclodes,19,16,LC,LC,Stable,15
