,"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
"12443",136355674,"2022-09-24","santiagomailhos","experimentado",1,"-32.5287280762","-58.036401478","Río Negro","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
"12444",136381469,"2022-09-24","tianal","principiante",55,"-33.3153281555","-58.0812502171","Soriano","Aves","Icteridae","Agelaioides badius",19,"Alta",18,"Pequeño","LC","LC"
"12445",136381934,"2022-09-24","tianal","principiante",55,"-33.301519647","-58.0786697007","Soriano","Aves","Icteridae","Molothrus bonariensis",19,"Alta",19,"Pequeño","LC","LC"
"12446",136381942,"2022-09-24","tianal","principiante",55,"-33.3000785002","-58.0783308445","Soriano","Aves","Thraupidae","Embernagra platensis",19,"Alta",20,"Mediano","LC","LC"
"12447",136382354,"2022-09-24","tianal","principiante",55,"-33.3167490496","-58.0855714867","Soriano","Aves","Passerellidae","Ammodramus humeralis",19,"Alta",11,"Pequeño","LC","LC"
"12448",136382374,"2022-09-24","tianal","principiante",55,"-33.3251990257","-58.1079213248","Soriano","Aves","Hirundinidae","Tachycineta leucorrhoa",19,"Alta",13,"Pequeño","LC","LC"
"12449",136382778,"2022-09-24","tianal","principiante",55,"-33.3241595469","-58.1068701463","Soriano","Aves","Thraupidae","Sicalis flaveola",19,"Alta",12,"Pequeño","LC","LC"
"12450",136382794,"2022-09-24","tianal","principiante",55,"-33.3243858864","-58.1130099824","Soriano","Aves","Picidae","Picumnus cirratus",6,"Media",8,"Pequeño","DD","LC"
"12451",136383161,"2022-09-24","tianal","principiante",55,"-33.316660056","-58.0850798402","Soriano","Aves","Icteridae","Pseudoleistes virescens",19,"Alta",21,"Mediano","LC","LC"
"12452",136383374,"2022-09-24","tianal","principiante",55,"-33.321450283","-58.1003426249","Soriano","Aves","Icteridae","Molothrus rufoaxillaris",19,"Alta",18,"Pequeño","LC","LC"
"12453",136383492,"2022-09-24","tianal","principiante",55,"-33.3225384778","-58.1030331597","Soriano","Aves","Falconidae","Milvago chimango",19,"Alta",37,"Mediano","LC","LC"
"12454",136383643,"2022-09-24","tianal","principiante",55,"-33.3206946456","-58.0994797024","Soriano","Aves","Fringillidae","Spinus magellanicus",19,"Alta",12,"Pequeño","LC","LC"
"12455",136383836,"2022-09-24","tianal","principiante",55,"-33.3243681312","-58.1065284613","Soriano","Aves","Falconidae","Milvago chimango",19,"Alta",37,"Mediano","LC","LC"
"12456",136384048,"2022-09-24","tianal","principiante",55,"-33.3242418192","-58.1063828347","Soriano","Aves","Strigidae","Athene cunicularia",19,"Alta",25,"Mediano","NT","LC"
"12457",136443439,"2022-09-25","rpereirag","intermedio",26,"-33.9627883333","-53.9950416667","Rocha","Reptilia","Colubridae","Lygophis anomalus",19,"Alta",62,"Mediano","LC","NE"
"12458",136525745,"2022-09-18","mati07","principiante",80,"-34.3643905","-55.2590707","Lavalleja","Amphibia","Bufonidae","Rhinella dorbignyi",10,"Media",7,"Mediano","LC","LC"
"12459",136575786,"2022-09-26","santiagomailhos","experimentado",1,"-32.5290033333","-58.0383221667","Río Negro","Reptilia","Colubridae","Oxyrhopus rhombifer",19,"Alta",90,"Mediano","LC","NE"
"12460",136587399,"2022-09-26","santiagomailhos","experimentado",1,"-32.5317810439","-58.033809498","Río Negro","Aves","Scolopacidae","Tringa flavipes",19,"Alta",25,"Mediano","LC","LC"
"12461",136587976,"2022-09-26","santiagomailhos","experimentado",1,"-32.5317713134","-58.0338325517","Río Negro","Aves","Anatidae","Anas flavirostris",19,"Alta",34,"Mediano","LC","LC"
"12462",136588536,"2022-09-26","santiagomailhos","experimentado",1,"-32.5312782096","-58.0313166317","Río Negro","Aves","Hirundinidae","Pygochelidon cyanoleuca",19,"Alta",11,"Pequeño","LC","LC"
