"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
5505927,"2017-03-09","susan57","visitante",165,"-34.2541175986","-57.8799114918","Colonia","Aves","Cuculidae","Guira guira",19,"Alta",36,"Mediano","LC","LC"
5535388,"2015-01-12","drtupps","visitante",363,"-34.468851","-57.852556","Colonia","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
5565526,"2012-02-25","carancho","visitante",11,"-34.9368789","-54.9281496","Maldonado","Aves","Threskiornithidae","Phimosus infuscatus",19,"Alta",40,"Mediano","LC","LC"
5565527,"2012-02-26","carancho","visitante",11,"-34.9368789","-54.9281496","Maldonado","Aves","Laridae","Larus dominicanus",16,"Media",55,"Grande","LC","LC"
5565528,"2012-02-26","carancho","visitante",11,"-34.8531859678","-54.9847788931","Maldonado","Reptilia","Cheloniidae","Chelonia mydas",5,"Baja",92,"Mediano","VU","EN"
5565529,"2012-02-26","carancho","visitante",11,"-34.9368789","-54.9281496","Maldonado","Aves","Laridae","Chroicocephalus maculipennis",19,"Alta",35,"Mediano","LC","LC"
5565530,"2012-02-26","carancho","visitante",11,"-34.9368789","-54.9281496","Maldonado","Aves","Laridae","Rynchops niger",13,"Media",40,"Mediano","LC","LC"
6290222,"2017-01-30","craftybirder","visitante",68,"-34.8463883199","-56.0222482681","Canelones","Aves","Rallidae","Aramides ypecaha",19,"Alta",45,"Mediano","LC","LC"
6290553,"2017-01-30","craftybirder","visitante",68,"-34.9295712235","-54.9271559715","Maldonado","Aves","Furnariidae","Furnarius rufus",19,"Alta",18,"Pequeño","LC","LC"
6290949,"2017-01-30","craftybirder","visitante",68,"-34.9294462","-54.9271454","Maldonado","Aves","Columbidae","Zenaida auriculata",19,"Alta",23,"Mediano","LC","LC"
6291517,"2017-01-30","craftybirder","visitante",68,"-34.9278119839","-56.1633110046","Montevideo","Aves","Columbidae","Patagioenas picazuro",19,"Alta",35,"Mediano","LC","LC"
6291959,"2017-01-30","craftybirder","visitante",68,"-34.9448398418","-54.9319839478","Maldonado","Aves","Threskiornithidae","Phimosus infuscatus",19,"Alta",40,"Mediano","LC","LC"
6292137,"2017-01-30","craftybirder","visitante",68,"-34.9315415275","-54.9532699585","Maldonado","Aves","Mimidae","Mimus saturninus",19,"Alta",25,"Mediano","LC","LC"
6295941,"2017-01-30","craftybirder","visitante",68,"-34.9180297809","-56.172064403","Montevideo","Aves","Laridae","Larus dominicanus",16,"Media",55,"Grande","LC","LC"
6295942,"2017-01-30","craftybirder","visitante",68,"-34.9180297809","-56.172064403","Montevideo","Aves","Laridae","Chroicocephalus maculipennis",19,"Alta",35,"Mediano","LC","LC"
6295943,"2017-01-30","craftybirder","visitante",68,"-34.9180297809","-56.172064403","Montevideo","Aves","Laridae","Chroicocephalus maculipennis",19,"Alta",35,"Mediano","LC","LC"
6295944,"2017-01-30","craftybirder","visitante",68,"-34.9180297809","-56.172064403","Montevideo","Aves","Phalacrocoracidae","Nannopterum brasilianum",19,"Alta",63,"Grande","LC","LC"
6295945,"2017-01-30","craftybirder","visitante",68,"-34.9180297809","-56.172064403","Montevideo","Aves","Laridae","Sterna trudeaui",13,"Media",32,"Mediano","LC","LC"
